trade_date,prev_trade_date,ts_code,industry,name,close,pct_chg,amount_x,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit,pre_close,price,amount_y,turnover_rate,auction_pct,auction_amount_yi,circ_mv_yi,prev_5d,prev_10d,high20,high60,prev_auction_pct,prev_auction_price,pct_rank,turn_rank,amt_rank,pct_pool_size,turn_pool_size,amt_pool_size,pct_rank_ratio,turn_rank_ratio,amt_rank_ratio,auction_new20,auction_new60,auction_price_ratio,daily_close,daily_open,daily_pct_chg,close_vs_auction_pct
20260410,20260409,600345.SH,通信设备,长江通信,49.42,9.99,1141503376.0,,10455260457.74,16289431365.76,11.36,72894500.0,103708,104241,1,1/1,1,U,49.42,53.28,68432832.0,0.607111,7.810602994738969,0.68432832,104.55260458,16.11842105263157,23.580895223805953,49.42,49.42,-1.402181170710004,44.3,7.0,13.0,10.0,50,50,50,0.14,0.26,0.2,True,True,1.2027088036117382,54.36,53.28,9.996,2.0270270270270236
20260410,20260409,600594.SH,中药Ⅱ,益佰制药,5.06,10.0,377500880.0,,4007152644.0,4007152684.48,9.62,111755392.0,93336,93336,0,3/6,1,U,5.06,4.87,19167833.0,0.497003,-3.75494071146244,0.19167833,40.07152644,16.055045871559614,36.021505376344074,5.27,5.27,0.21739130434783593,4.61,49.0,16.0,35.0,50,50,50,0.98,0.32,0.7,False,False,1.056399132321041,4.81,4.87,-4.9407,-1.2320328542094556
20260410,20260409,600619.SH,家电零部,海立股份,18.38,9.99,875522592.0,,14505032787.24,19728070072.0,6.22,126027800.0,101441,101441,0,1/1,1,U,18.38,18.18,16892856.0,0.117743,-1.088139281828071,0.16892856,145.05032787,11.868533171028606,11.732522796352573,18.96,22.39,-1.2567324955116699,16.5,43.0,42.0,37.0,50,50,50,0.86,0.84,0.74,False,False,1.1018181818181818,17.8,18.18,-3.1556,-2.0902090209020847
20260410,20260409,600629.SH,工程咨询,华建集团,22.18,10.02,659007776.0,,21140136169.0,21522111390.08,3.17,135597097.0,94253,94253,0,1/1,1,U,22.18,21.95,28515245.0,0.1363,-1.036970243462576,0.28515245,211.40136169,8.037018996590351,9.476801579466908,22.98,25.68,2.678571428571419,20.7,42.0,39.0,26.0,50,50,50,0.84,0.78,0.52,False,False,1.0603864734299517,22.2,21.95,0.0902,1.1389521640091116
20260410,20260409,600707.SH,光学光电,彩虹股份,6.38,10.0,297063840.0,,22889332890.16,22893926464.64,1.31,68646720.0,93134,93238,1,1/1,1,U,6.38,7.02,77824422.0,0.309006,10.03134796238243,0.77824422,228.8933289,12.720848056537104,10.380622837370247,6.6,7.2,4.31034482758621,6.05,2.0,22.0,8.0,50,50,50,0.04,0.44,0.16,True,False,1.1603305785123967,7.02,7.02,10.0313,0.0
20260410,20260409,601133.SH,专业工程,柏诚股份,24.68,9.98,922303888.0,,3686864841.92,13031494901.76,25.96,89748326.0,94641,103523,1,3/6,1,U,24.68,25.19,26001118.0,0.196839,2.0664505672609357,0.26001118,36.86864842,30.928381962864716,27.54521963824288,24.68,24.68,0.0,22.44,21.0,32.0,30.0,50,50,50,0.42,0.64,0.6,True,True,1.1225490196078431,24.9,25.19,0.8914,-1.1512504962286727
20260410,20260409,601811.SH,出版,新华文轩,15.93,10.01,390035648.0,,12615029127.0,19655087257.44,3.24,59350416.0,130420,130420,0,1/1,1,U,15.93,15.24,15816072.0,0.131051,-4.331450094161959,0.15816072,126.15029127,15.854545454545455,17.825443786982255,15.93,16.48,3.5911602209944826,15.0,50.0,40.0,40.0,50,50,50,1.0,0.8,0.8,False,False,1.016,15.41,15.24,-3.2643,1.1154855643044614
20260410,20260409,601869.SH,通信设备,长飞光纤,398.31,10.0,8098605824.0,,161848613849.34,329762881974.24,5.28,461329811.0,145328,145328,0,1/1,1,U,398.31,392.0,78556800.0,0.0493185,-1.584193216339036,0.785568,1618.48613849,29.321428571428566,55.20183915211972,398.31,398.31,-1.999447666390497,354.86,45.0,48.0,7.0,50,50,50,0.9,0.96,0.14,False,False,1.1046609930676887,384.38,392.0,-3.4973,-1.9438775510204094
20260410,20260409,603121.SH,汽车零部件,华培动力,21.57,9.99,249728836.0,,7302172232.55,7302172167.84,3.56,65523059.0,103401,103401,0,1/1,1,U,21.57,21.49,2982812.0,0.0410003,-0.37088548910524377,0.02982812,73.02172232999999,19.435215946843854,29.54954954954956,21.57,26.45,-0.2549719530851591,19.56,35.0,50.0,50.0,50,50,50,0.7,1.0,1.0,False,False,1.0986707566462168,21.15,21.49,-1.9471,-1.5821312238250345
20260410,20260409,603216.SH,家居用品,梦天家居,36.52,10.0,205955553.0,,8132638800.0,8132638800.0,2.63,83459338.0,130114,130114,0,1/1,1,U,36.52,36.52,4937504.0,0.0607122,0.0,0.04937504,81.326388,11.681957186544345,11.409395973154357,37.98,58.84,0.39156626506022807,33.33,29.0,46.0,48.0,50,50,50,0.58,0.92,0.96,False,False,1.0957095709570959,33.63,36.52,-7.9135,-7.913472070098577
20260410,20260409,603507.SH,风电设备,振江股份,46.21,10.0,786937680.0,,8399698306.47,8516563396.47,9.76,96323959.0,132841,132841,0,1/1,1,U,46.21,46.22,9156182.0,0.108982,0.0216403375892682,0.09156182,83.99698306,11.888619854721561,19.467425025853146,46.21,46.21,-0.02380385622470227,42.0,28.0,43.0,45.0,50,50,50,0.56,0.86,0.9,True,True,1.1004761904761904,47.24,46.22,2.229,2.2068368671570817
20260410,20260409,603773.SH,光学光电,沃格光电,39.22,10.01,866398928.0,,8811111586.26,8814170746.26,10.05,35490727.0,95848,95954,1,1/1,1,U,39.22,40.5,37458450.0,0.411691,3.2636409994900584,0.3745845,88.11111586,14.913565777907989,7.012278308321962,45.08,45.08,1.5988779803646658,36.22,15.0,20.0,23.0,50,50,50,0.3,0.4,0.46,False,False,1.1181667586968527,43.14,40.5,9.9949,6.518518518518519
20260410,20260409,603808.SH,服装家纺,歌力思,11.36,9.97,171091642.0,,4192895094.08,4192895116.8,4.29,59803811.0,103025,103025,0,1/1,1,U,11.36,11.31,5792982.0,0.138773,-0.4401408450704136,0.05792982,41.92895094,7.068803016022618,9.021113243762002,11.36,11.36,-0.6776379477250738,10.26,36.0,37.0,47.0,50,50,50,0.72,0.74,0.94,False,False,1.1023391812865497,10.76,11.31,-5.2817,-4.862953138815214
